,Logistic Regression,Multilayer Perceptron,Random Forest
BoW,0.9720986609737416,0.9329160788875929,0.9598814393748354
GloVe,0.9545208598439546,0.9677105301350987,0.959868797161626
Sentence Transformers,0.9748518506570164,0.9656164839569532,0.9636788337525906
Tf-Idf,0.964244628116635,0.9476057948453988,0.9584824983736576
Word2Vec,0.9587217033208023,0.9569548500792777,0.9476442587300624
